date,total_confirmed,daily_confirmed,七天移動平均新增確診數,total_death,daily_death,七天移動平均新增死亡數,每百萬人確診數,每百萬人死亡數,傳染率,新增檢驗件數,總檢驗件數,每千人檢驗件數,七天移動平均新增檢驗件數,陽性率,每確認案例相對檢驗數量,疫苗總接種劑數,疫苗總接種人數,疫苗新增接種劑數,七天移動平均疫苗新增接種劑數,每百人接種疫苗劑數,每百人接種疫苗人數,疫情控管指數,總人口數,中位數年紀,70歲以上人口比率,平均壽命
2021/6/14,13106,185,230.714,452,15,23.714,550.284,18.978,0,13715,903676,37.943,25852,0.009,112.1,855125,855125,0,18615,3.59,3.59,0,23816775,42.2,8.353,80.46
2021/6/13,12921,175,231.857,437,26,25.286,542.517,18.348,0,15444,889961,37.367,28643,0.008,123.5,0,0,0,19610,0,0,0,23816775,42.2,8.353,80.46
2021/6/12,12746,246,255.714,411,26,26.714,535.169,17.257,1.1,20585,874517,36.719,28315,0.009,110.7,0,0,0,18427,0,0,0,23816775,42.2,8.353,80.46
2021/6/11,12500,278,293.429,385,24,28.286,524.84,16.165,1.11,34714,853932,35.854,28000,0.01,95.4,799129,799129,16829,17244,3.36,3.36,0,23816775,42.2,8.353,80.46
2021/6/10,12222,254,321.143,361,28,27.857,513.168,15.157,1.11,33464,819218,34.397,27528,0.012,85.7,782300,782300,22554,22595,3.28,3.28,0,23816775,42.2,8.353,80.46
2021/6/9,11968,274,368.429,333,25,26.286,502.503,13.982,1.12,31914,785754,32.992,26764,0.014,72.6,759746,759746,16168,28245,3.19,3.19,0,23816775,42.2,8.353,80.46
2021/6/8,11694,203,407.429,308,22,24.429,490.998,12.932,1.14,31129,753840,31.652,26431,0.015,64.9,743578,743578,18759,30264,3.12,3.12,0,23816775,42.2,8.353,80.46
2021/6/7,11491,193,425.714,286,26,23.143,482.475,12.008,1.16,33248,722711,30.345,26398,0.016,62,724819,724819,25632,31912,3.04,3.04,0,23816775,42.2,8.353,80.46
2021/6/6,11298,342,448.286,260,36,21.571,474.372,10.917,1.19,13153,689463,28.949,25578,0.018,57.1,699187,699187,0,32578,2.94,2.94,0,23816775,42.2,8.353,80.46
2021/6/5,10956,510,450,224,37,17.857,460.012,9.405,1.22,18377,676310,28.396,25632,0.018,57,0,0,0,35422,0,0,0,23816775,42.2,8.353,80.46
2021/6/4,10446,472,447.286,187,21,15.571,438.598,7.852,1.25,31410,657933,27.625,25313,0.018,56.6,678418,678418,54286,38267,2.85,2.85,0,23816775,42.2,8.353,80.46
2021/6/3,9974,585,459,166,17,15.286,418.78,6.97,1.28,28120,626523,26.306,24963,0.018,54.4,624132,624132,62103,34839,2.62,2.62,0,23816775,42.2,8.353,80.46
2021/6/2,9389,547,471.143,149,12,14.714,394.218,6.256,1.31,29578,598403,25.125,23776,0.02,50.5,562029,562029,0,30296,2.36,2.36,0,23816775,42.2,8.353,80.46
2021/6/1,8842,331,483.714,137,13,14.571,371.251,5.752,1.35,30897,568825,23.883,22563,0.021,46.6,0,0,0,30296,0,0,0,23816775,42.2,8.353,80.46
2021/5/31,8511,351,513.429,124,15,13.571,357.353,5.206,1.39,27510,537928,22.586,21632,0.024,42.1,0,0,0,27109,0,0,68.52,23816775,42.2,8.353,80.46
2021/5/30,8160,354,548.286,109,10,12.286,342.616,4.577,1.43,13534,510418,21.431,20978,0.026,38.3,0,0,0,24064,0,0,68.52,23816775,42.2,8.353,80.46
2021/5/29,7806,491,563.429,99,21,11.714,327.752,4.157,1.48,16143,496884,20.863,20882,0.027,37.1,0,0,0,19939,0,0,68.52,23816775,42.2,8.353,80.46
2021/5/28,7315,554,596.571,78,19,9,307.136,3.275,1.54,28957,480741,20.185,20641,0.029,34.6,0,0,0,15815,0,0,68.52,23816775,42.2,8.353,80.46
